"Programa de Governo"|"Ação"|"Órgão Responsável"|"Quanto foi previsto"|"Quanto já foi realizado <br>(Empenhado ou Pago)"
"Saude Publica de Qualidade e Eficaz"|"em 148 Loa 2024 - Custeio a Asipeca - Associacao D e Socorro Imediato a Pessoas Com Cancer"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 149 Loa 2024 - Custeio a Santa Casa de Miserico Rdia"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 15 Loa 2025 - Custeio do Hospital Santa Lucinda"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 150 Loa 2024 - Custeio a Associacao Beneficente Oncologica de Sorocaba - Abos"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 151 Loa 2024 - Custeio a Apeas - Associacao de Pais do Espectro Autista de Sorocaba"|"Secr.da Saude"|20000.00|20000.00
"Saude Publica de Qualidade e Eficaz"|"em 152 Loa 2024 - Custeio a Liga Sorocabana de Com Bate ao Cancer"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 152 Loa 2025 - Custeio Amas . Associacao Amigos dos Autistas de Sorocaba"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 153 Loa 2024 - Custeio ao Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 155 Loa 2024 - Custeio a Afissore"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 159 Loa 2025 - Destinacao ao Instituto Delta"|"Secr.da Saude"|50000.00|44240.00
"Saude Publica de Qualidade e Eficaz"|"em 16 Loa 2025 - Custeio ao Grupo de Pesquisa e as Sistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 161 Loa 2025 - Custeio para Apae . Associacao D os Pais e Amigos dos Excepcionais de Sorocaba"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 162 Loa 2025 - Custeio para Apeas . Associacao de Pais do Espectro Autista de Sorocaba"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 165 Loa 2025 - Custeio para Asipeca . Associaca o de Socorro Imediato a Pessoas Com Cancer e Autis"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 169 Loa 2025 - Custeio ao Gpaci . Grupo de Pesq Uisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 17 Loa 2025 - Custeio ao Bos - Banco de Olhos D e Sorocaba"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 170 Loa 2025 - Custeio para Bos . Banco de Olho S de Sorocaba"|"Secr.da Saude"|500000.00|500000.00
"Saude Publica de Qualidade e Eficaz"|"em 172 Loa 2025 - Custeio ao Gpaci . Grupo de Pesq Uisa e Assistencia ao Cancer Infantil"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 173 Loa 2025 - Custeio para Integrar . Institut o Terapeutica de Grupos de Habilitacao e Reabilita"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 174 Loa 2025 - Recurso Destinado para Aquisicao de Equipamentos Irmandade da Santa Casa de Miseric"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 175 Loa 2025 - Custeio para a Realizacao de Cir Urgias Ginecologicas"|"Secr.da Saude"|87236.80|87236.80
"Saude Publica de Qualidade e Eficaz"|"em 18 Loa 2025 - Custeio a Liga Sorocabana de Comb Ate ao Cancer"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 187 Loa 2024 - Verba para a Ades para Manutenca o e Custeio do Projeto "saude Ativa""|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 190 Loa 2024 - Investimento Irmandade Santa Cas a de Misericordia"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 191 Loa 2024 - Custeio a Asipeca - Associacao D e Socorro Imediato a Pessoa Com Cancer"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 192 Loa 2024 - Custeio a Integrar"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 198 Loa 2023-INVESTIMENTO Centro Cirurgico,uti S, Enfermaria e Hospital do Cancer da Santa Casa"|"Secr.da Saude"|1000000.00|1000000.00
"Saude Publica de Qualidade e Eficaz"|"em 2 Loa 2024 - Incremento para Custeio do Hospita L Santa Lucinda"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 20 Loa 2023 - Incremento de Materiais de Insumo S para o Servico de Atend. Movel de Urgencia Samu"|"Secr.da Saude"|100000.00|87540.50
"Saude Publica de Qualidade e Eficaz"|"em 200 Loa 2023 - Incremento da Atencao a Saude da Populacao para Procedimentos no Gpaci"|"Secr.da Saude"|170000.00|170000.00
"Saude Publica de Qualidade e Eficaz"|"em 21 Loa 2023 - Adequacoes de Acessibilidade da U Nidade Mista Aparecidinha"|"Secr.da Saude"|151126.36|151126.36
"Saude Publica de Qualidade e Eficaz"|"em 217 Loa 2024 - Aquisicao de Cadeira Ergonomica, Giratoria, Com Braco, para os Servidores da Ses"|"Secr.da Saude"|10000.00|10000.00
"Saude Publica de Qualidade e Eficaz"|"em 218 Loa 2024 - Custeio Integrar - Instituto Ter Apeutica de Grupos de Habilitacao e Reabilitacao"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 219 Loa 2024 - Custeio do Hospital Santa Lucind"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 220 Loa 2024 - Reforma de Areas Hospitalares de Apoio e Outras Areas Internacao da Santa Casa"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 220 Loa 2025 - Destinacao a Liga Sorocabana de Combate ao Cancer"|"Secr.da Saude"|70000.00|70000.00
"Saude Publica de Qualidade e Eficaz"|"em 221 Loa 2024 - Custeio ao Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 222 Loa 2023 - Custeio do Hospital Santa Lucind"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 222 Loa 2024 - Custeio do Grupo de Pesquisa e a Ssistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 222 Loa 2025 - Destinacao ao Hospital Santa Luc Inda"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 223 Loa 2023 - Custeio a Associacao Ajg - Anton Io Jose Guarda"|"Secr.da Saude"|100000.00|100000.00
"Saude Publica de Qualidade e Eficaz"|"em 223 Loa 2024-CUSTEIO Geral Atividades da Associ Acao Socorro Imediato Pessoas Com Cancer-asipeca"|"Secr.da Saude"|25000.00|25000.00
"Saude Publica de Qualidade e Eficaz"|"em 223 Loa 2025 - Destinacao a Ibrapper - Inst. Br de Apoio e Pesq. Pacientes Oncologicos Reflexologi"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 224 Loa 2023 - Aquisicao de Equipamentos para C Entral Reguladora de Vagas Municipal"|"Secr.da Saude"|50000.00|48196.00
"Saude Publica de Qualidade e Eficaz"|"em 224 Loa 2024 - Verba para Ades para Manutencao e Custeio do Projeto "saude Ativa""|"Secr.da Saude"|460000.00|460000.00
"Saude Publica de Qualidade e Eficaz"|"em 224 Loa 2025 - Destinacao ao Grupo de Pesquisa e Assistencia ao Cancer Infantil - Gpaci"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 225 Loa 2023 - Custeio da Irmandade Santa Casa de Misericordia"|"Secr.da Saude"|200000.00|200000.00
"Saude Publica de Qualidade e Eficaz"|"em 225 Loa 2024-CUSTEIO para Afissore - Associacao dos Fissurados Labios Palatais Sorocaba e Regiao"|"Secr.da Saude"|5000.00|5000.00
"Saude Publica de Qualidade e Eficaz"|"em 225 Loa 2025 - Destinacao ao Bos . Banco de Olh os de Sorocaba"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 226 Loa 2023 - Custeio do Bos - Banco de Olhos de Sorocaba"|"Secr.da Saude"|150000.00|150000.00
"Saude Publica de Qualidade e Eficaz"|"em 226 Loa 2025 - Destinacao a Asipeca . Ass de So Corro Imediato a Pessoas Com Cancer"|"Secr.da Saude"|80000.00|80000.00
"Saude Publica de Qualidade e Eficaz"|"em 227 Loa 2023-CUSTEIO do Gpaci"|"Secr.da Saude"|177379.50|177379.50
"Saude Publica de Qualidade e Eficaz"|"em 227 Loa 2025 - Destinacao a Apeas . Associacao de Pais do Espectro Autista de Sorocaba"|"Secr.da Saude"|50000.00|50000.00
"Saude Publica de Qualidade e Eficaz"|"em 228 Loa 2023-CUSTEIO a Afissore"|"Secr.da Saude"|30000.00|30000.00
"Saude Publica de Qualidade e Eficaz"|"em 228 Loa 2025 - Destinacao a Associacao de Pais e Amigos dos Excepcionais de Sorocaba . Apae"|"Secr.da Saude"|80000.00|80000.00
